Country Name,Country Code,Series Name,Series Code,2023 [YR2023]
South Asia,SAS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,383.252639140927
South Asia,SAS,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,3332.5073
South Asia,SAS,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,1.70762965748019
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,10796.8623721014
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,7100142198622.08
Latin America & Caribbean,LCN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.08842613019844
Latin America & Caribbean,LCN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.38877680409384
Latin America & Caribbean,LCN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,81.249577899895
Latin America & Caribbean,LCN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1749.803
Latin America & Caribbean,LCN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.66172848579041
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,10180.7055245454
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,6057469575864.84
Latin America & Caribbean (excluding high income),LAC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.07213292803164
Latin America & Caribbean (excluding high income),LAC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.34055598746268
Latin America & Caribbean (excluding high income),LAC,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,91.5726866627363
Latin America & Caribbean (excluding high income),LAC,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1509.3466
Latin America & Caribbean (excluding high income),LAC,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.53673800200307
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1622.80705094435
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,2044578421949.78
Sub-Saharan Africa,SSF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.79926945385927
Sub-Saharan Africa,SSF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.294870479395669
Sub-Saharan Africa,SSF,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,71.5244742051392
Sub-Saharan Africa,SSF,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,825.5063
Sub-Saharan Africa,SSF,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.661241389217938
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1621.26148130945
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,2042436971778.64
Sub-Saharan Africa (excluding high income),SSA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.79890609439795
Sub-Saharan Africa (excluding high income),SSA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.294269300811493
Sub-Saharan Africa (excluding high income),SSA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,71.361884465356
Sub-Saharan Africa (excluding high income),SSA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,824.269
Sub-Saharan Africa (excluding high income),SSA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.660313645989774
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,8499.84306394222
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,4320566779119.19
Middle East & North Africa,MEA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.97724704424243
Middle East & North Africa,MEA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.077319658080242
Middle East & North Africa,MEA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,217.492680580306
Middle East & North Africa,MEA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2904.0738
Middle East & North Africa,MEA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,5.77183600999269
Middle East & North Africa (excluding high income),MNA,GDP per capita (current US$),NY.GDP.PCAP.CD,3797.10418034163
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1671174615296.29
Middle East & North Africa (excluding high income),MNA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.15107695991034
Middle East & North Africa (excluding high income),MNA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.30211207804565
Middle East & North Africa (excluding high income),MNA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,188.829442391108
Middle East & North Africa (excluding high income),MNA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1642.1681
Middle East & North Africa (excluding high income),MNA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.775512095445
High income,HIC,GDP per capita (current US$),NY.GDP.PCAP.CD,48752.7127374395
High income,HIC,GDP (current US$),NY.GDP.MKTP.CD,68276492853979.9
High income,HIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.77998069266845
High income,HIC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.24007608961456
High income,HIC,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-6.11683044723995
High income,HIC,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,13682.1238
High income,HIC,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,9.94030678200187
Low income,LIC,GDP per capita (current US$),NY.GDP.PCAP.CD,900.963258115437
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,663529162731.73
Low income,LIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.23905392962553
Low income,LIC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.481977255132946
Low income,LIC,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,5.82251376070007
Low income,LIC,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,207.3662
Low income,LIC,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,0.286029043430522
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,6254.08764955685
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,36878123654872.8
Middle income,MIC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.64482706320206
Middle income,MIC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,3.85019009899072
Middle income,MIC,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,237.077714721292
Middle income,MIC,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,23507.7796
Middle income,MIC,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,3.99623503259569
European Union,EUU,GDP per capita (current US$),NY.GDP.PCAP.CD,41422.7999680879
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,18590720056635.3
European Union,EUU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.427838269445104
European Union,EUU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.213732432428941
European Union,EUU,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-34.0612802438112
European Union,EUU,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2512.068
European Union,EUU,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,5.5972490550787
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,49463.8554617343
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,3380854520809.54
United Kingdom,GBR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.339966158003463
United Kingdom,GBR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.480663557904705
United Kingdom,GBR,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-48.1233246730054
United Kingdom,GBR,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,302.1033
United Kingdom,GBR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,4.41994586686174
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,82769.4122114216
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,27720709000000
United States,USA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.88755600906016
United States,USA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,2.38266938077211
United States,USA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,-6.05502757378115
United States,USA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,4682.0394
United States,USA,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,13.9797885071669
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,12614.0617416421
China,CHN,GDP (current US$),NY.GDP.MKTP.CD,17794783039552
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.24955786387791
China,CHN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,5.35885786336085
China,CHN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,449.217161987604
China,CHN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,13259.639
China,CHN,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,9.39926632688504
India,IND,GDP per capita (current US$),NY.GDP.PCAP.CD,2480.79208721621
India,IND,GDP (current US$),NY.GDP.MKTP.CD,3567551674623.01
India,IND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.1529363109041
India,IND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,7.20183939103345
India,IND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,391.966735437889
India,IND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,2955.1817
India,IND,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.05496431342395
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,4876.31432703188
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1371171152331.16
Indonesia,IDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.04810577067288
Indonesia,IDN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,4.16662016188742
Indonesia,IDN,Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),EN.GHG.CO2.ZG.AR5,316.951047792595
